Company Name,Job Title,Job Description,Job Date,Scraping data from page
Catholic Medical Mission Board - CMMB,Data Clerks - 4 Positions,"The Catholic Medical Mission Board (CMMB) is an international, faith-based NGO, providing long-term, co-operative medical and development aid to communities affected by poverty and healthcare issues....","19 October, 2022",483.0
CIC Insurance,Financial Reporting and Budget Accountant,"CIC Insurance Group Limited, commonly referred to as CIC Group, is an insurance and investment group that operates mainly in Kenya, Uganda, South Sudan and Malawi","19 October, 2022",483.0
Avodemia Limited,Sales and Marketing Officer,"Avodemia Limited is a manufacturing company based in Ruiru Town, Kiambu County, specializing in manufacture and export of Extra Virgin Avocado oil and Packaging of Fresh Avocado for export. We are see...","19 October, 2022",483.0
The Coca-Cola Company,Channel and Trade Marketing Manager,"The Coca-Cola Company, which is headquartered in Atlanta, Georgia, is an American multinational beverage corporation, and manufacturer, retailer, and marketer of nonalcoholic beverage concentrates and...","18 October, 2022",484.0
ICEA Lion Group,Software Security Analyst,"As one of the largest insurers and financial services companies in East Africa, we have decades of experience in helping discerning individuals protect and create their wealth. But that’s not al...","18 October, 2022",484.0
Madison Group Limited,Data Protection Officer,"Madison Group Limited is a locally owned financial services holding company that specializes in Insurance and wealth management services. The Group comprises of Madison Life Assurance Kenya Limited, Madison General Insurance Kenya Limited, and Madison Investment Managers Limited. Madison Life Assurance Kenya was originally incorporated under Kenyan Laws in 1988 as Madison Insurance Company Limited (MICK) after a successful merger between Crusader Plc (1974) and Kenya Commercial Insurance Corporation.","18 October, 2022",484.0
Center for International Forestry Research (CIFOR),Linux Systems Administrator - Spacial Data Science and Applied Learning Lab,"The Center for International Forestry Research (CIFOR) is a non-profit, scientific institution that conducts research on the most pressing challenges of forest and landscape management around the world. Using a global, multidisciplinary approach, we aim to improve human well-being, protect the environment, and increase equity. To do so, we conduct innovative research, develop partners’ capacity, and actively engage in dialogue with all stakeholders to inform policies and practices that affect forests and people.
CIFOR is a CGIAR Research Center, and leads the CGIAR Research Program on Forests, Trees and Agroforestry (FTA).
Our headquarters are in Bogor, Indonesia, with offices in Nairobi, Kenya; Yaounde, Cameroo","18 October, 2022",485.0
World Bank Group,Sr Financial Management Specialist,The World Bank Group (WBG) is a family of five international organizations that make leveraged loans to developing countries. It is the largest and most famous development bank in the world and is an...,"18 October, 2022",485.0
Aga Khan University (AKU),"Consultant (Policy Survey and Analysis), Institute for Human Development","The Aga Khan University is a private, autonomous university that promotes human welfare through research, teaching and community service initiatives. Based on the principles of quality, access, impact...","18 October, 2022",485.0
International Livestock Research Institute (ILRI),Research Associate II-Economist,The International Livestock Research Institute (ILRI) works to improve food security and reduce poverty in developing countries through research for better and more sustainable use of livestock. ILRI...,"18 October, 2022",485.0
International Executive Service Corps,Credit Policy Refinement and Credit Scoring Tool Development for a Rural SACCO,"Since 1964, IESC has delivered private sector solutions to development in 137 countries across the globe, from the oldest (China) to the newest (South Sudan). We accelerate the progress of growing economies and rebuild economies broken by war and conflict.","17 October, 2022",487.0
Execafrica Recruitment Limited,Sales and Marketing Manager,"Execafrica Recruitment Limited was founded in 2019 with Recruitment Experts who have more than 15 years of combined experience in Recruitment, Executive Search, Headhunting and Manpower planning.","17 October, 2022",489.0
Winrock International,Cost and Pricing Analyst - Nairobi (USAID Experience Preferred),"Winrock is a recognized leader in U.S. and international development with a focus on social and environmental issues. As a mission driven, field-based organization, we believe that sustainable develop...","15 October, 2022",489.0
African Population And Health Research Center (APHRC),Data Scientist (Data Science and Evaluation Theme),"The African Population and Health Research Center (APHRC) is leading Africa-based, African-led, international research institution headquartered in Nairobi, Kenya, and conducting policy-relevant research on population, health, education, urbanization and related development issues on the continent.","15 October, 2022",490.0
KEMRI Wellcome Trust Research Programme (KWTRP),Early Post-Doctoral Researcher – Challenge Studies,The KEMRI Wellcome Trust Research Programme (KWTRP) is based within the KEMRI Centre for Geographic Medical Research - (Coast). Our core activities are funded by the Wellcome Trust. We conduct integra...,"14 October, 2022",491.0
WYLDE International,Business Analyst,"Wylde International founded in 2004, is an Unmatched Strategy and Entrepreneurship firm that equips and empowers entrepreneurs and their support institutions to succeed. We have grown into the leadin...","14 October, 2022",491.0
DT Global,Financial Accountant,"DT Global, built on more than 50 years of experience from AECOM International Development, Development Transformations, and the Global Peace and Development (GPD) Charitable Trust, applies ingenuity, evidence, and passion to everything we do. Grounded in decades of technical expertise and leadership around the world, we incorporate rigorous learning and assessment in our program design process to ensure that we stay on the cutting edge of thought leadership. Our technical experts work in partnership with communities and institutions to deliver innovative, data-driven solutions that create sustainable change and improve people's lives.
We are recruiting to fill the following positions below:","14 October, 2022",491.0
